game_id	game_date	game_serie_id	game_number	game_id_team_home	game_id_team_away	game_name_team_home	game_name_team_away	game_name_pitcher_home	game_name_pitcher_away	game_pitcher_home_ERA	game_pitcher_away_ERA
135	2017-09-03 14:10:00.000	1	20	20	20	Kansas City Royals	Minnesota Twins	I. Kennedy (R)	E. Santana (R)	4.30000019073486	4.03999996185303
136	2017-09-03 14:10:00.000	1	20	20	20	New York Mets	Houston Astros	C. Flexen (R)	M. Fiers (R)	8.18000030517578	3.45000004768372
137	2017-09-03 14:20:00.000	1	20	20	20	Atlanta Braves	Chicago Cubs	R. Dickey (R)	J. Arrieta (R)	4.59000015258789	3.23000001907349
138	2017-09-03 15:05:00.000	1	20	20	20	Los Angeles Angels	Texas Rangers	A. Heaney (L)	A. Cashner (R)	9	2.33999991416931
139	2017-09-03 15:10:00.000	1	20	20	20	Arizona Diamondbacks	Colorado Rockies	Z. Godley (R)	A. Senzatela (R)	3.10999989509583	4.67000007629395
140	2017-09-03 16:05:00.000	1	20	20	20	St. Louis Cardinals	San Francisco Giants	A. Wainwright (R)	M. Moore (L)	7.42000007629395	4.40000009536743
141	2017-09-03 16:10:00.000	1	20	20	20	Oakland Athletics	Seattle Mariners	J. Cotton (R)	M. Gonzales (L)	3.40000009536743	5.19000005722046
142	2017-09-03 16:40:00.000	1	20	20	20	Los Angeles Dodgers	San Diego Padres	H. Ryu (L)	L. Perdomo (R)	3.19000005722046	5.09000015258789
143	2017-09-03 19:30:00.000	1	20	20	20	Boston Red Sox	New York Yankees	C. Sale (L)	J. Garcia (L)	2.29999995231628	4.76000022888184
144	2017-09-04 13:00:00.000	1	20	20	20	Milwaukee Brewers	Cincinnati Reds	C. Anderson (R)	S. Romano (R)	3.59999990463257	6.63000011444092
145	2017-09-04 13:10:00.000	1	20	20	20	Kansas City Royals	Detroit Tigers	J. Junis (R)	J. Verlander (R)	5.23000001907349	2.75999999046326
146	2017-09-04 13:10:00.000	1	20	20	20	Philadelphia Phillies	New York Mets	J. Eickhoff (R)	R. Montero (R)	4.92999982833862	5.8899998664856
147	2017-09-04 14:05:00.000	1	20	20	20	New York Yankees	Baltimore Orioles	C. Sabathia (L)	U. Jimenez (R)	2.80999994277954	6.82999992370605
148	2017-09-04 14:10:00.000	1	20	20	20	Cleveland Indians	Chicago White Sox	R. Merritt (L)	D. Holland (L)	3.51999998092651	5.59999990463257
149	2017-09-04 15:10:00.000	1	20	20	20	San Francisco Giants	Colorado Rockies	T. Blach (L)	G. Marquez (R)	5.5	4.5
150	2017-09-04 16:00:00.000	1	20	20	20	Chicago Cubs	Pittsburgh Pirates	J. Quintana (L)	C. Kuhl (R)	2.36999988555908	4.88000011444092
151	2017-09-04 16:05:00.000	1	20	20	20	Los Angeles Angels	Oakland Athletics	T. Scribner (R)	C. Smith (R)	6	5.01000022888184
152	2017-09-04 16:40:00.000	1	20	20	20	St. Louis Cardinals	San Diego Padres	C. Martinez (R)	T. Wood (L)	3.77999997138977	2
153	2017-09-04 18:40:00.000	1	20	20	20	Houston Astros	Seattle Mariners	D. Keuchel (L)	E. Ramirez (R)	3.61999988555908	2.66000008583069
